Date,Year,Cnt_Mth,Title,Incident_Area,Location,Open/Close_Location,Target,Cause,Summary,Fatalities,Injured,Total_victims,Age,Employeed_(Y/N),Employed_at,Mental_Health_Issues,Race,Gender,Latitude,Longitude
9/17/2006,2006,9,Duquesne University,School,"Pittsburgh, Pennsylvania",Unknown,basketball players,frustration,"On September 17, 2006, two 18-year old men shot at five Duquesne University basketball players after a school dance. Several players said the shooter was a non-student unhappy that the woman he accompanied to the dance had talked with a player. The shooter and at least one other man followed the players when they left the dance to walk to their dormitory. Both man were later identified and arrested.",0,5,5,18,0,,Unknown,Black,Male,40.43948548,-79.97631581
10/2/2006,2006,14,Amish school shooting,School,"Lancaster County, Pennsylvania",Close,school girls,terrorism,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.",6,5,11,32,0,,No,White,Male,39.9589,-76.0806
2/12/2007,2007,40,Trolley Square shooting,Shopping Mall/Store,"Salt Lake City, Utah",Open,random,religious radicalism,"On February 12, 2007, an 18-year-old refugee and high school drop out in Salt Lake City, Utah arrived at Trolley Square and began shooting at the crowd. He killed five and wounded four others before being shot and killed by police. The incident was thought to be an attack of religious radicalism.",6,4,9,18,0,,Unknown,White,Male,40.77787404,-111.9312168
4/10/2007,2007,29,Springwater Trail High School,School,"Gresham, Oregon",Close,Students,terrorism,"On April 10, 2007, a 15-year-old student of Springwater Trail High School in Gresham, Oregon arrived to his school and began shooting at his classmates. He wounded ten and killed none before being arrested.",0,10,10,15,0,,No,Other,Male,45.50216511,-122.4412759
4/16/2007,2007,28,Virginia Tech massacre,University,"Blacksburg, Virginia",Close,random,terrorism,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.",32,23,55,23,0,,Yes,Asian,Male,37.2295733,-80.4139393
10/7/2007,2007,13,"Apartment in Crandon, Wisconsin",Home,"Crandon, Wisconsin",Close,party guests,anger,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide.",6,1,7,20,1,Deputy Sheriff,Unknown,White,Male,45.5719072,-88.9028922
10/11/2007,2007,12,SuccessTech Academy,School,"Cleveland, Ohio",Close,Students+Teachers,suspension,"On October 11, 2007, a 14-year-old student of SuccessTech Academy in Cleveland, Ohio arrived at school two days after he had been suspended for getting into a fist-fight with another student. He then began shooting at students and teachers, injuring four during the incident and committing suicide. ",1,4,4,14,0,,Yes,White,Male,41.47657557,-81.68051502
10/25/2007,2007,11,South Middle School Football Game,School,"Saginaw, Michigan",Open,Students,frustration,"On October 25, 2007, a 15-year-old student arrived at a football game at South Middle School in Saginaw, Michigan looking for his brother. He then ran into other students with which he had an ongoing confrontation and began shooting, wounding four before fleeing the scene. He was later arrested and charged with assault with intent to murder",0,4,4,15,0,,No,Black,Male,43.41929117,-83.95032759
12/5/2007,2007,12,Westroads Mall shooting,Shopping Mall/Store,"Omaha, Nebraska",Close,random,terrorism,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide.",9,4,13,19,0,,Yes,White,Male,41.2587317,-95.9378732
12/9/2007,2007,11,Youth With A Mission and New Life Church,Church/Temple,"Arvada, Colorado",Close,random,anger,"On December 9, 2007, a 24-year-old failed missionary entered the Youth With A Mission training center in Arvada, Colorado and began shooting, killing two and wounding two others. He then went to the New Life Church, shooting and killing two more and wounding three others. A former police officer in the congregation opened fire on the shooter, wounding him before he decided to take his own life. ",5,5,9,24,0,,No,White,Male,39.81087474,-105.173715
12/11/2007,2007,10,Mojave High School Bus,School,"Las Vegas, Nevada",Open,random,terrorism,"On December 11, 2007, an 18-year-old high school drop out of Mojave High School in Las Vegas, Nevada arrived at a school bus stop where he planned an encounter with a student who had bumped into him the day before. He then began shooting at the student and others, wounding six before fleeing the scene. The shooter was arrested in Denver, CO after the police received a tip that he was on a bus to Chicago.",0,6,6,18,0,,No,Black,Male,36.18931923,-115.3264875
12/24/2007,2007,9,"Carnation, Washington",Home,"Carnation, Washington",Close,Family,domestic disputer,"On December 24, 2007, an unemployed woman and her boyfriend, both aged 29, shot the woman's father in regards to a financial dispute in his home in Carnation, Washington. The couple then shot the woman's mother before her brother, his wife and children arrived, upon which the couple shot and killed all four. They were later arrested in the home.",6,0,6,29,0,,No,White,Male/Female,47.64628742,-121.9088524
2/7/2008,2008,39,Kirkwood City Council shooting,Courthouse/City Hall,"Kirkwood, Missouri",Open+Close,Policeman+Council Member,terrorism,"On February 7, 2008, a 52-year-old construction worker entered the City Hall building in Kirkwood, Missouri and opened fire on a police officer, taking the officer's gun and continuing on to the commencing city council meeting. He began shooting at the council members and reporters, killing five and wounding two others before being killed by police. The mayor suffered wounds that he died from several months later.",6,2,7,52,0,,No,Black,Male,38.57889169,-90.42023754
2/14/2008,2008,38,Northern Illinois University shooting,University,"DeKalb, Illinois",Close,Students,terrorism,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",5,21,26,27,0,,Yes,White,Male,41.9294736,-88.7503647
6/25/2008,2008,12,Atlantis Plastics shooting,Workplace,"Henderson, Kentucky",Close,Coworkers,anger,"On June 25, 2008, a 25-year-old factory worker at Atlantis Plastics in Henderson, Kentucky had been reprimanded by a supervisor and escorted out of his workplace. He returned with a gun and began shooting, killing his supervisor, five employees and wounded a sixth before committing suicide.",7,1,7,25,1,Atlantis Plastics,No,White,Male,37.84040411,-87.57853755
